"id";"start_date";"distance";"moving_time";"average_speed";"max_speed"
"1";5431398447;"2021-06-07T19:30:12Z";11012.4;3460;3.183;7.3
"2";5415918767;"2021-06-05T06:56:45Z";21122.5;7193;2.937;7.4
"3";5377657710;"2021-05-29T13:46:37Z";8484.8;3077;2.757;6.7
"4";5362947626;"2021-05-26T18:06:08Z";12128.9;3642;3.33;6.3
"5";5352046800;"2021-05-24T18:06:48Z";16363.3;4940;3.312;5.9
"6";5332430168;"2021-05-21T05:48:53Z";8062.1;2324;3.469;5.4
"7";5327143055;"2021-05-20T05:45:57Z";8494.5;2643;3.214;6.2
"8";5304625252;"2021-05-16T06:19:57Z";11470.3;3447;3.328;5.9
"9";5254880854;"2021-05-07T05:03:12Z";9582.7;2983;3.212;8.4
"10";5244301892;"2021-05-05T05:02:51Z";12789.5;3830;3.339;6.1
"11";5228345483;"2021-05-02T07:44:35Z";21577.4;6943;3.108;8.1
"12";5199501619;"2021-04-27T05:02:10Z";10246.7;3352;3.057;8.8
"13";5158370489;"2021-04-20T05:00:44Z";12583.3;3803;3.309;8.7
"14";5155334872;"2021-04-19T15:38:39Z";6742.8;2580;2.614;7.4
"15";5140177774;"2021-04-17T07:43:25Z";8098.2;2220;3.648;8.9
"16";5129416638;"2021-04-15T05:00:06Z";15013.9;4535;3.311;5.3
"17";5106869376;"2021-04-11T08:35:39Z";17201.2;5519;3.117;5.1
"18";5094823426;"2021-04-09T08:03:08Z";8014;2308;3.472;5.2
"19";5082978963;"2021-04-07T05:14:32Z";9151.2;3048;3.002;7.8
"20";5080229068;"2021-04-06T16:20:11Z";8760.7;2555;3.429;11
"21";5060197649;"2021-04-03T09:16:46Z";10341.1;3135;3.299;7.3
"22";5036463130;"2021-03-30T10:33:31Z";11705.2;3683;3.178;6.1
"23";4994418674;"2021-03-23T06:56:20Z";11372.9;3400;3.345;5.3
"24";4977074210;"2021-03-20T09:14:17Z";21599.3;7174;3.011;7.8
"25";4957623673;"2021-03-16T17:35:23Z";8204.9;2392;3.43;10.5
"26";4922131151;"2021-03-10T06:14:48Z";13632.7;4131;3.3;6.8
"27";4893002671;"2021-03-05T08:32:35Z";8432.1;2618;3.221;5.5
"28";4883876537;"2021-03-03T15:19:39Z";8201.2;3221;2.546;6.1
"29";4833748981;"2021-02-23T06:13:26Z";12005.1;3806;3.154;6.6
